URL,Title,Local Identifier,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Place
https://calisphere.org/item/ark:/86086/n2rn361d,"Fans not facing the issue, Pittcon",pittcon_1960_f4-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2mw2f9p,"At the bar, Pittcon",pittcon_1960_f4-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2h41pk8,"Party, Pittcon",pittcon_1960_f5-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2cc0xvj,"Fan, Pittcon",pittcon_1960_f5-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n27p8wj0,"Auction, Pittcon",pittcon_1960_f5-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n23x84tn,"Ed Emshwiller, prominent fan, Pittcon",pittcon_1960_f5-4-n,1960,"Emshwiller, Ed",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2057d3n,"Post-masquerade party, Pittcon",pittcon_1960_f6-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2vd6wmz,"Post-masquerade party, Pittcon",pittcon_1960_f6-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2qn64wm,"Post-masquerade party, Pittcon",pittcon_1960_f6-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2kw5d6r,"Fans in room after party, Pittcon",pittcon_1960_f6-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2g44ngb,"Fans in room after party, Pittcon",pittcon_1960_f6-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2bg2m4w,"Willy Ley before talk, Pittcon",pittcon_1960_g1-1-n,1960,"Ley, Willy, 1906-1969",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n26q1vd5,"Willy Ley before talk, Pittcon",pittcon_1960_g1-2-n,1960,"Ley, Willy, 1906-1969",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n22z13pt,"Willy Ley talk, Pittcon",pittcon_1960_g1-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2z60m6v,"Willy Ley talk, Pittcon",pittcon_1960_g1-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2td9vgk,"Photo center, Pittcon",pittcon_1960_g1-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2pn93sp,"Registration, Pittcon",pittcon_1960_g1-6-n,1960,,,,,,Pittsburgh (Pa.)
